| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1498.47 ± 3.24 |   1498.47 ± 3.24 |                |                  |      1369.57 ± 2.95 |      1366.74 ± 2.95 |      1369.57 ± 2.95 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    50.70 ± 2.77 |     50.70 ± 2.77 |   63.50 ± 0.50 |     63.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) | 1485.27 ± 22.24 | 1097.36 ± 355.66 |                |                  |    2086.85 ± 672.69 |    2084.02 ± 672.69 |    2086.85 ± 672.69 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    48.80 ± 0.26 |     29.72 ± 3.37 |   82.00 ± 3.00 |     42.75 ± 4.32 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) |  1503.68 ± 0.78 |  686.56 ± 433.07 |                |                  |   4078.24 ± 1920.51 |   4075.41 ± 1920.51 |   4078.24 ± 1920.51 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    53.60 ± 1.36 |     15.74 ± 3.47 | 116.50 ± 10.50 |     31.20 ± 3.16 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) | 1462.74 ± 33.75 |  1462.74 ± 33.75 |                |                  |     2805.23 ± 64.67 |     2802.39 ± 64.67 |     2805.23 ± 64.67 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    34.91 ± 2.00 |     34.91 ± 2.00 |   39.00 ± 4.00 |     39.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   506.35 ± 1.97 |    506.35 ± 1.97 |                |                  |     4047.50 ± 15.72 |     4044.67 ± 15.72 |     4047.50 ± 15.72 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    42.83 ± 6.87 |     42.83 ± 6.87 |  54.50 ± 11.50 |    54.50 ± 11.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |  1448.32 ± 9.51 | 1098.55 ± 374.03 |                |                  |   4221.40 ± 1436.59 |   4218.56 ± 1436.59 |   4221.40 ± 1436.59 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    35.86 ± 1.19 |     24.67 ± 5.60 |   67.00 ± 5.00 |     39.75 ± 4.49 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   498.10 ± 3.42 |  377.78 ± 128.66 |                |                  |   6135.25 ± 2088.78 |   6132.42 ± 2088.78 |   6135.25 ± 2088.78 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    27.72 ± 0.99 |     20.25 ± 5.37 |   61.50 ± 3.50 |     33.50 ± 1.66 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1422.35 ± 2.31 |  669.30 ± 436.66 |                |                  |   8533.90 ± 4118.19 |   8531.07 ± 4118.19 |   8533.90 ± 4118.19 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    35.14 ± 0.04 |     12.47 ± 4.15 |  101.50 ± 0.50 |     27.90 ± 3.05 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   491.86 ± 0.54 |  228.18 ± 146.75 |                |                  |  12399.48 ± 5917.11 |  12396.65 ± 5917.11 |  12399.48 ± 5917.11 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    28.37 ± 0.66 |     12.21 ± 6.50 | 105.00 ± 14.00 |     28.10 ± 4.28 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1494.35 ± 6.80 |   1494.35 ± 6.80 |                |                  |     5485.59 ± 24.97 |     5482.76 ± 24.97 |     5485.59 ± 24.97 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    32.16 ± 2.89 |     32.16 ± 2.89 |   47.00 ± 4.00 |     47.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   489.79 ± 5.69 |    489.79 ± 5.69 |                |                  |     4184.77 ± 48.57 |     4181.94 ± 48.57 |     4184.77 ± 48.57 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    38.76 ± 2.89 |     38.76 ± 2.89 |   50.00 ± 3.00 |     50.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1473.19 ± 0.52 | 1115.24 ± 378.50 |                |                  |   8305.45 ± 2817.45 |   8302.62 ± 2817.45 |   8305.45 ± 2817.45 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    24.09 ± 0.15 |     19.46 ± 6.42 |   56.00 ± 2.00 |     34.75 ± 4.82 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   492.32 ± 1.35 |  371.45 ± 125.21 |                |                  |   6223.18 ± 2096.72 |   6220.35 ± 2096.72 |   6223.18 ± 2096.72 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    29.01 ± 0.64 |     22.22 ± 5.82 |   72.00 ± 4.00 |     42.25 ± 4.21 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1432.81 ± 2.90 |  672.47 ± 439.41 |                |                  |  16966.48 ± 8160.38 |  16963.65 ± 8160.38 |  16966.48 ± 8160.38 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    22.00 ± 0.18 |     10.68 ± 6.31 |   93.00 ± 7.00 |     30.10 ± 7.78 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   484.60 ± 0.11 |  225.33 ± 145.58 |                |                  |  12583.63 ± 6014.66 |  12580.80 ± 6014.66 |  12583.63 ± 6014.66 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    26.82 ± 0.03 |     10.86 ± 4.94 |  105.00 ± 5.00 |     29.40 ± 5.89 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) |  1489.45 ± 4.23 |   1489.45 ± 4.23 |                |                  |    11003.62 ± 31.23 |    11000.79 ± 31.23 |    11005.17 ± 31.25 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    40.98 ± 1.45 |     40.98 ± 1.45 |   51.00 ± 3.00 |     51.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   483.70 ± 2.05 |    483.70 ± 2.05 |                |                  |     4236.96 ± 17.94 |     4234.13 ± 17.94 |     4238.62 ± 17.98 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    40.82 ± 1.16 |     40.82 ± 1.16 |   52.00 ± 3.00 |     52.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1469.66 ± 4.89 | 1114.98 ± 380.04 |                |                  |  16629.87 ± 5667.48 |  16627.04 ± 5667.48 |  16630.52 ± 5667.52 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    16.63 ± 0.03 |    20.75 ± 11.62 |   71.00 ± 4.00 |     46.25 ± 5.54 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   484.54 ± 0.77 |  365.22 ± 122.85 |                |                  |   6325.86 ± 2126.93 |   6323.03 ± 2126.93 |   6326.74 ± 2126.66 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    29.54 ± 0.41 |     22.67 ± 6.59 |   67.00 ± 1.00 |     38.25 ± 3.19 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1445.16 ± 1.00 |  673.27 ± 437.11 |                |                  | 33770.98 ± 16170.60 | 33768.15 ± 16170.60 | 33771.77 ± 16170.08 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    12.61 ± 0.04 |     10.13 ± 8.94 |   74.00 ± 6.00 |    25.50 ± 12.75 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   476.27 ± 0.71 |  218.62 ± 138.85 |                |                  |  12852.65 ± 6084.86 |  12849.82 ± 6084.86 |  12853.79 ± 6084.70 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    27.78 ± 0.25 |     11.97 ± 5.95 |  109.00 ± 7.00 |     31.40 ± 7.28 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1470.62 ± 0.64 |   1470.62 ± 0.64 |                |                  |     22285.32 ± 9.65 |     22282.49 ± 9.65 |    22286.63 ± 10.96 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    39.71 ± 4.09 |     39.71 ± 4.09 |   51.50 ± 3.50 |     51.50 ± 3.50 |                     |                     |                     |
