| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) | 1478.21 ± 19.74 |  1478.21 ± 19.74 |                |                  |     1388.04 ± 18.50 |     1385.71 ± 18.50 |     1388.04 ± 18.50 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    45.08 ± 4.03 |     45.08 ± 4.03 |   55.00 ± 3.00 |     55.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1534.85 ± 7.43 | 1139.58 ± 371.75 |                |                  |    2013.29 ± 655.55 |    2010.96 ± 655.55 |    2013.29 ± 655.55 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    49.50 ± 2.51 |     31.70 ± 6.59 |   83.00 ± 3.00 |     48.75 ± 5.76 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1473.28 ± 66.71 |  642.89 ± 398.35 |                |                  |   4266.39 ± 1937.80 |   4264.06 ± 1937.80 |   4266.39 ± 1937.80 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    52.05 ± 2.90 |     15.98 ± 3.92 |  110.00 ± 5.00 |     28.70 ± 3.82 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) | 1528.74 ± 14.60 |  1528.74 ± 14.60 |                |                  |     2682.56 ± 25.60 |     2680.23 ± 25.60 |     2682.56 ± 25.60 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    44.99 ± 1.37 |     44.99 ± 1.37 |   48.50 ± 0.50 |     48.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |  499.55 ± 15.40 |   499.55 ± 15.40 |                |                  |    4105.89 ± 126.49 |    4103.56 ± 126.49 |    4105.89 ± 126.49 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    45.96 ± 3.92 |     45.96 ± 3.92 |   51.50 ± 3.50 |     51.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) | 1490.33 ± 10.81 | 1135.02 ± 389.57 |                |                  |   4093.99 ± 1404.49 |   4091.66 ± 1404.49 |   4093.99 ± 1404.49 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    35.40 ± 0.87 |     24.82 ± 4.64 |   73.50 ± 6.50 |     41.75 ± 5.76 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   500.96 ± 4.24 |  383.63 ± 133.12 |                |                  |   6071.38 ± 2105.89 |   6069.05 ± 2105.89 |   6071.38 ± 2105.89 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    29.33 ± 0.65 |     22.25 ± 6.29 |   65.00 ± 1.00 |     34.50 ± 1.66 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1451.59 ± 4.58 |  673.41 ± 430.45 |                |                  |   8384.33 ± 4001.48 |   8382.00 ± 4001.48 |   8384.33 ± 4001.48 |
