| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1481.22 ± 7.92 |   1481.22 ± 7.92 |                |                  |      1385.35 ± 7.39 |      1382.68 ± 7.39 |      1385.35 ± 7.39 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    43.51 ± 1.53 |     43.51 ± 1.53 |   49.00 ± 0.00 |     49.00 ± 0.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1496.73 ± 3.11 | 1119.52 ± 370.43 |                |                  |    2056.91 ± 679.65 |    2054.24 ± 679.65 |    2056.91 ± 679.65 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    46.19 ± 0.46 |     27.68 ± 3.20 |   73.00 ± 3.00 |     41.25 ± 3.34 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) |  1499.04 ± 6.34 |  692.94 ± 442.90 |                |                  |   4072.43 ± 1937.86 |   4069.77 ± 1937.86 |   4072.43 ± 1937.86 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    52.89 ± 0.54 |     15.80 ± 4.11 | 123.50 ± 10.50 |     30.20 ± 4.02 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |  1468.73 ± 5.78 |   1468.73 ± 5.78 |                |                  |     2792.20 ± 10.98 |     2789.53 ± 10.98 |     2792.20 ± 10.98 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    42.32 ± 2.24 |     42.32 ± 2.24 |   52.00 ± 3.00 |     52.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   500.88 ± 4.41 |    500.88 ± 4.41 |                |                  |     4091.75 ± 36.00 |     4089.08 ± 36.00 |     4091.75 ± 36.00 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    44.67 ± 2.40 |     44.67 ± 2.40 |   53.50 ± 2.50 |     53.50 ± 2.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |  1438.57 ± 1.98 | 1093.63 ± 374.00 |                |                  |   4245.06 ± 1450.79 |   4242.39 ± 1450.79 |   4245.06 ± 1450.79 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    34.05 ± 0.58 |     23.95 ± 4.07 |   74.50 ± 4.50 |     39.00 ± 6.20 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   497.24 ± 1.47 |  377.01 ± 128.31 |                |                  |   6146.48 ± 2091.05 |   6143.81 ± 2091.05 |   6146.48 ± 2091.05 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    30.28 ± 2.03 |     23.04 ± 8.12 |  75.00 ± 15.00 |     42.25 ± 6.80 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1395.14 ± 5.32 |  663.58 ± 435.38 |                |                  |   8644.74 ± 4205.25 |   8642.07 ± 4205.25 |   8644.74 ± 4205.25 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    32.99 ± 1.65 |     12.22 ± 4.62 |   98.00 ± 7.00 |     29.50 ± 5.20 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   481.65 ± 7.28 |  223.79 ± 144.44 |                |                  |  12669.38 ± 6060.10 |  12666.71 ± 6060.10 |  12669.38 ± 6060.10 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    27.36 ± 0.82 |     11.33 ± 5.56 |  101.50 ± 2.50 |     27.90 ± 4.44 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1495.04 ± 1.34 |   1495.04 ± 1.34 |                |                  |      5482.80 ± 4.93 |      5480.13 ± 4.93 |      5482.80 ± 4.93 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    38.20 ± 0.08 |     38.20 ± 0.08 |   47.00 ± 2.00 |     47.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |   486.82 ± 6.88 |    486.82 ± 6.88 |                |                  |     4210.36 ± 59.45 |     4207.69 ± 59.45 |     4210.36 ± 59.45 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    33.25 ± 1.30 |     33.25 ± 1.30 |   46.50 ± 3.50 |     46.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) | 1445.26 ± 10.51 | 1093.70 ± 371.16 |                |                  |   8467.91 ± 2871.21 |   8465.25 ± 2871.21 |   8467.91 ± 2871.21 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    24.20 ± 0.71 |     20.40 ± 6.46 |   67.00 ± 0.00 |     37.75 ± 4.76 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   489.75 ± 1.46 |  369.32 ± 124.38 |                |                  |   6257.32 ± 2106.30 |   6254.65 ± 2106.30 |   6257.32 ± 2106.30 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    30.12 ± 1.37 |     23.57 ± 8.08 |   72.00 ± 4.00 |     37.75 ± 5.40 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1425.02 ± 1.72 |  666.01 ± 434.82 |                |                  |  17115.09 ± 8207.65 |  17112.42 ± 8207.65 |  17115.09 ± 8207.65 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    20.84 ± 0.65 |     10.60 ± 6.88 |   90.50 ± 4.50 |     27.80 ± 7.92 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   479.84 ± 0.14 |  222.48 ± 142.91 |                |                  |  12716.26 ± 6072.37 |  12713.60 ± 6072.37 |  12716.26 ± 6072.37 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    27.67 ± 0.01 |     11.51 ± 5.93 |  101.50 ± 5.50 |     27.30 ± 4.29 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) | 1478.52 ± 10.21 |  1478.52 ± 10.21 |                |                  |    11085.24 ± 76.57 |    11082.58 ± 76.57 |    11086.58 ± 76.64 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |    35.71 ± 0.51 |     35.71 ± 0.51 |   53.50 ± 6.50 |     53.50 ± 6.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |   484.03 ± 1.13 |    484.03 ± 1.13 |                |                  |      4233.87 ± 9.85 |      4231.20 ± 9.85 |      4235.12 ± 9.82 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |    38.17 ± 0.58 |     38.17 ± 0.58 |   48.50 ± 1.50 |     48.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |  1457.50 ± 1.05 | 1097.58 ± 368.70 |                |                  |  16829.83 ± 5652.58 |  16827.16 ± 5652.58 |  16831.22 ± 5652.38 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |    16.78 ± 0.35 |    21.01 ± 12.42 |   66.00 ± 5.00 |    40.00 ± 12.10 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |   478.99 ± 0.86 |  360.14 ± 120.53 |                |                  |   6406.78 ± 2143.43 |   6404.12 ± 2143.43 |   6407.94 ± 2143.19 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |    29.71 ± 0.34 |     23.20 ± 6.63 |   68.50 ± 2.50 |     41.75 ± 7.92 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |  1439.17 ± 1.70 |  667.42 ± 431.19 |                |                  | 33966.32 ± 16208.87 | 33963.65 ± 16208.87 | 33967.46 ± 16208.79 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |    12.45 ± 0.09 |      9.34 ± 8.22 |  73.50 ± 12.50 |    24.70 ± 12.37 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |   473.00 ± 0.22 |  219.49 ± 141.30 |                |                  |  12897.05 ± 6155.47 |  12894.39 ± 6155.47 |  12897.92 ± 6155.36 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |    26.10 ± 1.68 |     11.63 ± 6.85 |  101.00 ± 0.00 |    29.30 ± 10.19 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |  1471.90 ± 3.51 |   1471.90 ± 3.51 |                |                  |    22265.87 ± 53.13 |    22263.21 ± 53.13 |    22267.69 ± 53.24 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |    36.81 ± 0.91 |     36.81 ± 0.91 |   45.50 ± 1.50 |     45.50 ± 1.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |   466.15 ± 0.92 |    466.15 ± 0.92 |                |                  |      4396.11 ± 8.67 |      4393.44 ± 8.67 |      4398.48 ± 8.25 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |    44.21 ± 1.47 |     44.21 ± 1.47 |   51.00 ± 2.00 |     51.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |  1448.86 ± 0.16 | 1097.91 ± 373.41 |                |                  | 33753.24 ± 11478.74 | 33750.57 ± 11478.74 | 33754.93 ± 11479.16 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     9.58 ± 0.00 |    20.47 ± 15.15 |   55.50 ± 1.50 |     41.00 ± 7.58 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |   467.21 ± 0.03 |  349.91 ± 116.18 |                |                  |   6580.60 ± 2183.64 |   6577.93 ± 2183.64 |   6583.08 ± 2183.71 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |    29.84 ± 0.37 |     23.23 ± 7.49 |   69.50 ± 0.50 |     37.75 ± 3.96 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c5) |  1438.57 ± 1.74 |  664.24 ± 427.65 |                |                  | 68096.85 ± 32382.32 | 68094.19 ± 32382.32 | 68098.89 ± 32382.56 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c5) |     6.65 ± 0.00 |    10.19 ± 11.80 |   62.00 ± 1.00 |    20.40 ± 13.90 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c5) |   462.80 ± 0.09 |  211.35 ± 132.75 |                |                  |  13227.80 ± 6240.94 |  13225.14 ± 6240.94 |  13229.52 ± 6239.90 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c5) |    26.79 ± 0.38 |     11.27 ± 5.65 |  106.50 ± 0.50 |     29.50 ± 5.30 |                     |                     |                     |
