| model                  |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) | 1485.23 ± 10.14 |  1485.23 ± 10.14 |               |                  |      1380.76 ± 9.41 |      1378.98 ± 9.41 |      1380.76 ± 9.41 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    45.36 ± 3.34 |     45.36 ± 3.34 |  51.50 ± 4.50 |     51.50 ± 4.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1533.55 ± 1.94 | 1144.69 ± 377.41 |               |                  |    2009.12 ± 661.82 |    2007.33 ± 661.82 |    2009.12 ± 661.82 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    48.61 ± 4.62 |     29.40 ± 4.67 |  72.50 ± 6.50 |     40.00 ± 2.12 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1502.32 ± 13.40 |  682.15 ± 430.25 |               |                  |   4096.66 ± 1920.07 |   4094.87 ± 1920.07 |   4096.66 ± 1920.07 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    58.41 ± 1.54 |     17.47 ± 4.22 | 135.00 ± 5.00 |     33.40 ± 4.10 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |  1498.18 ± 0.31 |   1498.18 ± 0.31 |               |                  |      2736.44 ± 0.56 |      2734.65 ± 0.56 |      2736.44 ± 0.56 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    35.66 ± 0.08 |     35.66 ± 0.08 |  47.00 ± 4.00 |     47.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   512.11 ± 0.29 |    512.11 ± 0.29 |               |                  |      4000.94 ± 2.30 |      3999.15 ± 2.30 |      4000.94 ± 2.30 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    44.02 ± 0.71 |     44.02 ± 0.71 |  52.00 ± 2.00 |     52.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |  1472.29 ± 2.68 | 1117.35 ± 380.99 |               |                  |   4150.79 ± 1414.50 |   4149.01 ± 1414.50 |   4150.79 ± 1414.50 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    37.14 ± 0.99 |     26.71 ± 5.11 |  72.00 ± 2.00 |     42.75 ± 2.28 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   499.13 ± 8.55 |  370.97 ± 121.94 |               |                  |   6187.37 ± 2025.91 |   6185.59 ± 2025.91 |   6187.37 ± 2025.91 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    32.14 ± 0.64 |     25.35 ± 7.62 |  78.50 ± 2.50 |     43.25 ± 2.49 |                     |                     |                     |
