| model                  |                 test |     t/s (total) |       t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) | 1325.82 ± 19.17 | 1325.82 ± 19.17 |               |                  |     1546.69 ± 22.34 |     1545.03 ± 22.34 |     1546.69 ± 22.34 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    40.50 ± 0.56 |    40.50 ± 0.56 |  47.00 ± 1.00 |     47.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1341.65 ± 3.72 | 997.33 ± 326.12 |               |                  |    2300.98 ± 751.86 |    2299.32 ± 751.86 |    2300.98 ± 751.86 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    41.14 ± 1.70 |    24.61 ± 3.46 |  67.00 ± 1.00 |     38.00 ± 3.61 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1323.75 ± 18.94 | 607.15 ± 390.30 |               |                  |   4640.26 ± 2188.05 |   4638.60 ± 2188.05 |   4640.26 ± 2188.05 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    48.71 ± 2.10 |    14.39 ± 3.30 | 116.00 ± 4.00 |     28.50 ± 4.57 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |  1291.68 ± 7.13 |  1291.68 ± 7.13 |               |                  |     3173.59 ± 17.50 |     3171.93 ± 17.50 |     3173.59 ± 17.50 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    30.27 ± 2.26 |    30.27 ± 2.26 |  37.00 ± 1.00 |     37.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   440.45 ± 0.12 |   440.45 ± 0.12 |               |                  |      4651.49 ± 1.28 |      4649.83 ± 1.28 |      4651.49 ± 1.28 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    37.08 ± 2.88 |    37.08 ± 2.88 |  44.50 ± 4.50 |     44.50 ± 4.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |  1304.36 ± 3.73 | 980.02 ± 327.71 |               |                  |   4708.40 ± 1573.67 |   4706.74 ± 1573.67 |   4708.40 ± 1573.67 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    32.79 ± 0.47 |    23.02 ± 6.66 |  74.00 ± 6.00 |     37.25 ± 2.95 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   437.08 ± 2.93 | 328.73 ± 110.15 |               |                  |   7019.83 ± 2352.10 |   7018.17 ± 2352.10 |   7019.83 ± 2352.10 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    28.81 ± 0.95 |    23.88 ± 8.77 |  77.50 ± 0.50 |     42.50 ± 4.97 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1266.86 ± 7.96 | 584.58 ± 371.70 |               |                  |   9632.15 ± 4582.98 |   9630.49 ± 4582.98 |   9632.15 ± 4582.98 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    32.72 ± 1.00 |    12.00 ± 4.53 | 105.50 ± 5.50 |     27.80 ± 3.03 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   436.21 ± 2.12 | 200.71 ± 127.95 |               |                  |  14031.31 ± 6660.78 |  14029.65 ± 6660.78 |  14031.31 ± 6660.78 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    25.62 ± 0.58 |    11.24 ± 5.69 | 104.50 ± 3.50 |     32.20 ± 5.55 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1315.98 ± 1.43 |  1315.98 ± 1.43 |               |                  |      6227.46 ± 6.78 |      6225.80 ± 6.78 |      6227.46 ± 6.78 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    38.58 ± 1.17 |    38.58 ± 1.17 |  50.00 ± 2.00 |     50.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |  422.18 ± 10.08 |  422.18 ± 10.08 |               |                  |    4855.44 ± 115.85 |    4853.78 ± 115.85 |    4855.44 ± 115.85 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |    41.86 ± 0.06 |    41.86 ± 0.06 |  51.50 ± 2.50 |     51.50 ± 2.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |  1308.30 ± 3.28 | 986.39 ± 332.16 |               |                  |   9369.99 ± 3154.75 |   9368.33 ± 3154.75 |   9369.99 ± 3154.75 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |    23.21 ± 0.18 |    19.94 ± 7.50 |  66.00 ± 3.00 |     36.25 ± 3.49 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |   435.59 ± 0.48 | 326.09 ± 108.25 |               |                  |   7060.02 ± 2343.07 |   7058.36 ± 2343.07 |   7060.02 ± 2343.07 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |    26.40 ± 0.26 |    20.17 ± 6.27 |  66.00 ± 6.00 |     39.50 ± 1.80 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1280.87 ± 0.25 | 597.30 ± 383.05 |               |                  |  18951.52 ± 9086.93 |  18949.86 ± 9086.93 |  18951.52 ± 9086.93 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |    20.17 ± 0.10 |    10.19 ± 6.50 | 102.00 ± 3.00 |     28.60 ± 4.15 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   432.31 ± 0.42 | 197.94 ± 125.22 |               |                  |  14165.85 ± 6695.22 |  14164.19 ± 6695.22 |  14165.85 ± 6695.22 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    24.91 ± 0.18 |    10.41 ± 5.13 | 104.50 ± 0.50 |     26.80 ± 3.71 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) | 1297.66 ± 16.80 | 1297.66 ± 16.80 |               |                  |   12630.36 ± 163.46 |   12628.70 ± 163.46 |   12631.01 ± 163.46 |
