| model                  |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1279.27 ± 12.02 |  1279.27 ± 12.02 |                |                  |     1602.73 ± 15.05 |     1601.05 ± 15.05 |     1602.73 ± 15.05 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |     48.79 ± 0.64 |     48.79 ± 0.64 |   61.00 ± 4.00 |     61.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |   1360.81 ± 3.63 | 1009.38 ± 328.59 |                |                  |    2271.13 ± 738.76 |    2269.46 ± 738.76 |    2271.13 ± 738.76 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |     44.13 ± 1.16 |     27.97 ± 1.87 |   77.00 ± 0.00 |     41.50 ± 2.60 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1011.83 ± 269.15 |  586.93 ± 393.09 |                |                  |   5312.05 ± 3458.43 |   5310.37 ± 3458.43 |   5312.05 ± 3458.43 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |     43.61 ± 3.12 |     17.04 ± 7.08 |  103.00 ± 9.00 |     29.90 ± 6.58 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |   1323.87 ± 2.70 |   1323.87 ± 2.70 |                |                  |      3096.41 ± 6.31 |      3094.73 ± 6.31 |      3096.41 ± 6.31 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |     41.34 ± 7.30 |     41.34 ± 7.30 |   47.50 ± 5.50 |     47.50 ± 5.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |    451.47 ± 4.72 |    451.47 ± 4.72 |                |                  |     4538.50 ± 47.40 |     4536.83 ± 47.40 |     4538.50 ± 47.40 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |     44.04 ± 0.24 |     44.04 ± 0.24 |   53.00 ± 1.00 |     53.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |  1296.71 ± 24.60 |  978.45 ± 331.01 |                |                  |   4728.36 ± 1596.33 |   4726.68 ± 1596.33 |   4728.36 ± 1596.33 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |     36.80 ± 1.14 |     27.03 ± 7.27 |   75.00 ± 7.00 |     42.25 ± 2.28 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |    440.25 ± 1.63 |  331.46 ± 111.39 |                |                  |   6965.98 ± 2338.06 |   6964.31 ± 2338.06 |   6965.98 ± 2338.06 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |     30.22 ± 1.04 |     24.90 ± 9.62 |  77.00 ± 10.00 |     40.50 ± 4.15 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |   1288.84 ± 8.26 |  602.10 ± 387.16 |                |                  |   9420.14 ± 4528.09 |   9418.47 ± 4528.09 |   9420.14 ± 4528.09 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |     33.98 ± 0.55 |     13.41 ± 5.51 |  113.50 ± 0.50 |     31.90 ± 4.83 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |    445.02 ± 2.09 |  204.10 ± 130.25 |                |                  |  13778.83 ± 6512.38 |  13777.15 ± 6512.38 |  13778.83 ± 6512.38 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |     26.35 ± 0.03 |     11.72 ± 5.86 |  114.50 ± 6.50 |     29.70 ± 4.86 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |   1343.18 ± 5.43 |   1343.18 ± 5.43 |                |                  |     6101.47 ± 24.67 |     6099.80 ± 24.67 |     6101.47 ± 24.67 |
