| model                  |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) | 1464.29 ± 43.05 |  1464.29 ± 43.05 |                |                  |     1402.38 ± 41.16 |     1399.84 ± 41.16 |     1402.38 ± 41.16 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    41.47 ± 2.76 |     41.47 ± 2.76 |   49.50 ± 5.50 |     49.50 ± 5.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) | 1515.80 ± 12.09 | 1137.62 ± 379.38 |                |                  |    2027.77 ± 674.81 |    2025.22 ± 674.81 |    2027.77 ± 674.81 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    44.74 ± 1.32 |     27.07 ± 2.57 |   83.00 ± 7.00 |     42.50 ± 6.80 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) |  1498.74 ± 5.21 |  691.11 ± 440.32 |                |                  |   4075.61 ± 1935.38 |   4073.06 ± 1935.38 |   4075.61 ± 1935.38 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    54.47 ± 2.88 |     15.80 ± 3.59 | 120.50 ± 14.50 |     29.30 ± 3.90 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) | 1472.29 ± 12.85 |  1472.29 ± 12.85 |                |                  |     2785.51 ± 24.28 |     2782.96 ± 24.28 |     2785.51 ± 24.28 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    38.71 ± 0.43 |     38.71 ± 0.43 |   48.00 ± 2.00 |     48.00 ± 2.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   487.64 ± 8.44 |    487.64 ± 8.44 |                |                  |     4203.65 ± 72.73 |     4201.10 ± 72.73 |     4203.65 ± 72.73 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    40.93 ± 3.18 |     40.93 ± 3.18 |  55.50 ± 11.50 |    55.50 ± 11.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) | 1421.75 ± 29.07 | 1091.20 ± 380.14 |                |                  |   4276.48 ± 1491.47 |   4273.94 ± 1491.47 |   4276.48 ± 1491.47 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    37.22 ± 0.17 |     27.40 ± 5.80 |   80.00 ± 9.00 |     48.50 ± 4.33 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   492.51 ± 8.40 |  373.78 ± 127.56 |                |                  |   6204.07 ± 2117.66 |   6201.53 ± 2117.66 |   6204.07 ± 2117.66 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    30.05 ± 0.74 |     22.64 ± 7.45 |   69.50 ± 5.50 |     35.75 ± 3.34 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) | 1413.62 ± 10.67 |  665.66 ± 433.28 |                |                  |   8578.99 ± 4149.34 |   8576.44 ± 4149.34 |   8578.99 ± 4149.34 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    35.40 ± 0.41 |     12.74 ± 4.71 |  104.50 ± 2.50 |     28.60 ± 7.43 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |   488.08 ± 2.19 |  226.84 ± 146.44 |                |                  |  12499.13 ± 5975.58 |  12496.58 ± 5975.58 |  12499.13 ± 5975.58 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    28.41 ± 0.04 |     12.42 ± 6.84 |  113.00 ± 1.00 |     29.20 ± 5.15 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1486.48 ± 4.96 |   1486.48 ± 4.96 |                |                  |     5514.29 ± 18.37 |     5511.74 ± 18.37 |     5514.29 ± 18.37 |
