| model                  |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) | 1415.03 ± 29.83 |  1415.03 ± 29.83 |               |                  |     1451.00 ± 30.52 |     1447.96 ± 30.52 |     1451.00 ± 30.52 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    47.53 ± 4.48 |     47.53 ± 4.48 |  57.50 ± 3.50 |     57.50 ± 3.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1546.10 ± 9.97 | 1160.61 ± 387.07 |               |                  |    1988.13 ± 661.35 |    1985.08 ± 661.35 |    1988.13 ± 661.35 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    49.68 ± 3.12 |     29.64 ± 5.00 |  73.00 ± 9.00 |     42.75 ± 6.06 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1521.65 ± 14.39 |  701.00 ± 445.99 |               |                  |   4020.08 ± 1910.97 |   4017.04 ± 1910.97 |   4020.08 ± 1910.97 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    53.38 ± 0.27 |     16.64 ± 4.13 | 128.50 ± 9.50 |     30.60 ± 3.10 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) | 1493.60 ± 37.28 |  1493.60 ± 37.28 |               |                  |     2747.80 ± 68.50 |     2744.75 ± 68.50 |     2747.80 ± 68.50 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    37.55 ± 0.59 |     37.55 ± 0.59 |  53.00 ± 5.00 |     53.00 ± 5.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   510.38 ± 2.21 |    510.38 ± 2.21 |               |                  |     4015.83 ± 17.39 |     4012.79 ± 17.39 |     4015.83 ± 17.39 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    43.02 ± 2.75 |     43.02 ± 2.75 |  51.00 ± 1.00 |     51.00 ± 1.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) | 1477.31 ± 22.88 | 1102.18 ± 364.78 |               |                  |   4174.92 ± 1375.67 |   4171.88 ± 1375.67 |   4174.92 ± 1375.67 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    38.22 ± 3.30 |     26.51 ± 7.83 |  78.00 ± 3.00 |     39.50 ± 3.64 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   505.02 ± 5.97 |  377.34 ± 124.95 |               |                  |   6097.64 ± 2015.62 |   6094.59 ± 2015.62 |   6097.64 ± 2015.62 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    30.79 ± 2.12 |     23.91 ± 7.02 | 72.00 ± 10.00 |     38.75 ± 4.97 |                     |                     |                     |
