| model                  |                 test |     t/s (total) |       t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|----------------:|----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1506.04 ± 4.73 |  1506.04 ± 4.73 |               |                  |      1362.57 ± 4.27 |      1359.87 ± 4.27 |      1362.57 ± 4.27 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |    51.51 ± 5.19 |    51.51 ± 5.19 |  59.50 ± 2.50 |     59.50 ± 2.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |  1940.22 ± 1.62 |   971.50 ± 0.84 |               |                  |      2110.78 ± 1.81 |      2108.08 ± 1.81 |      2110.78 ± 1.81 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |    58.85 ± 0.36 |    30.24 ± 1.07 |  76.00 ± 6.00 |     41.75 ± 1.09 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) | 1956.76 ± 32.43 | 578.35 ± 152.53 |               |                  |   3843.49 ± 1136.55 |   3840.78 ± 1136.55 |   3843.49 ± 1136.55 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |    69.72 ± 2.16 |    17.02 ± 2.38 | 116.50 ± 5.50 |     29.00 ± 1.73 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |  1490.26 ± 3.44 |  1490.26 ± 3.44 |               |                  |      2751.90 ± 6.34 |      2749.19 ± 6.34 |      2751.90 ± 6.34 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |    35.91 ± 2.37 |    35.91 ± 2.37 |  44.50 ± 5.50 |     44.50 ± 5.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |   506.90 ± 0.84 |   506.90 ± 0.84 |               |                  |      4042.94 ± 6.68 |      4040.24 ± 6.68 |      4042.94 ± 6.68 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |    36.63 ± 1.48 |    36.63 ± 1.48 |  49.00 ± 3.00 |     49.00 ± 3.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) | 1629.55 ± 21.74 |  889.90 ± 75.86 |               |                  |    4640.24 ± 394.71 |    4637.54 ± 394.71 |    4640.24 ± 394.71 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    47.56 ± 3.95 |    27.99 ± 3.56 |  66.50 ± 6.50 |     39.75 ± 1.79 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |   571.32 ± 6.58 |  320.02 ± 34.50 |               |                  |    6477.52 ± 697.39 |    6474.82 ± 697.39 |    6477.52 ± 697.39 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |    39.69 ± 0.71 |    23.45 ± 3.58 |  65.00 ± 4.00 |     35.25 ± 3.34 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) | 1806.31 ± 44.44 | 522.34 ± 138.65 |               |                  |   8445.01 ± 2288.08 |   8442.31 ± 2288.08 |   8445.01 ± 2288.08 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |    50.78 ± 1.57 |    14.66 ± 3.52 | 112.50 ± 3.50 |     29.80 ± 3.31 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |  631.24 ± 13.73 |  186.37 ± 51.14 |               |                  |  11893.08 ± 3344.33 |  11890.37 ± 3344.33 |  11893.08 ± 3344.33 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    42.21 ± 2.24 |    13.06 ± 3.78 | 109.50 ± 1.50 |     29.40 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) | 1509.87 ± 12.47 | 1509.87 ± 12.47 |               |                  |     5429.06 ± 45.16 |     5426.35 ± 45.16 |     5429.06 ± 45.16 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |    37.15 ± 2.26 |    37.15 ± 2.26 |  47.50 ± 2.50 |     47.50 ± 2.50 |                     |                     |                     |
