| model                  |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-----------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1497.18 ± 21.43 |  1497.18 ± 21.43 |               |                  |     1370.83 ± 19.58 |     1368.19 ± 19.58 |     1370.83 ± 19.58 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |     35.48 ± 1.78 |     35.48 ± 1.78 |  45.00 ± 0.00 |     45.00 ± 0.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) | 1754.54 ± 186.58 | 1076.06 ± 298.33 |               |                  |    2033.57 ± 469.31 |    2030.93 ± 469.31 |    2033.57 ± 469.31 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |     58.18 ± 8.33 |     31.97 ± 3.69 |  87.00 ± 2.00 |     44.25 ± 2.38 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) |  1974.04 ± 23.37 |  578.25 ± 149.62 |               |                  |   3830.96 ± 1107.87 |   3828.33 ± 1107.87 |   3830.96 ± 1107.87 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |     80.17 ± 1.19 |     19.73 ± 3.82 | 127.00 ± 2.00 |     30.80 ± 2.52 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |   1511.58 ± 7.86 |   1511.58 ± 7.86 |               |                  |     2713.11 ± 14.09 |     2710.48 ± 14.09 |     2713.11 ± 14.09 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |     37.33 ± 1.57 |     37.33 ± 1.57 |  44.50 ± 0.50 |     44.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |    518.43 ± 4.16 |    518.43 ± 4.16 |               |                  |     3953.29 ± 31.73 |     3950.66 ± 31.73 |     3953.29 ± 31.73 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |     39.72 ± 3.33 |     39.72 ± 3.33 |  49.50 ± 0.50 |     49.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) |   1878.59 ± 1.71 |    939.97 ± 0.85 |               |                  |      4361.31 ± 3.96 |      4358.67 ± 3.96 |      4361.31 ± 3.96 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |     50.59 ± 1.41 |     27.45 ± 3.97 | 72.00 ± 10.00 |     37.00 ± 4.06 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |    571.43 ± 1.24 |   321.24 ± 35.54 |               |                  |    6456.76 ± 712.85 |    6454.12 ± 712.85 |    6456.76 ± 712.85 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |     43.24 ± 0.26 |     27.35 ± 4.46 |  69.00 ± 1.00 |     39.25 ± 4.15 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1701.08 ± 90.83 |  473.93 ± 125.10 |               |                  |   9240.18 ± 2335.33 |   9237.54 ± 2335.33 |   9240.18 ± 2335.33 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |     55.71 ± 5.30 |     16.07 ± 4.42 | 122.50 ± 0.50 |     28.20 ± 3.31 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |    634.70 ± 0.55 |   185.40 ± 47.71 |               |                  |  11931.76 ± 3429.77 |  11929.13 ± 3429.77 |  11931.76 ± 3429.77 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |     47.71 ± 0.98 |     15.16 ± 5.62 | 132.50 ± 2.50 |     31.70 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1524.34 ± 15.57 |  1524.34 ± 15.57 |               |                  |     5377.97 ± 54.91 |     5375.33 ± 54.91 |     5377.97 ± 54.91 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |     42.55 ± 6.31 |     42.55 ± 6.31 |  52.00 ± 6.00 |     52.00 ± 6.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |    496.97 ± 6.94 |    496.97 ± 6.94 |               |                  |     4124.45 ± 57.55 |     4121.81 ± 57.55 |     4124.45 ± 57.55 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |     38.20 ± 2.50 |     38.20 ± 2.50 |  48.00 ± 4.00 |     48.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |   1864.44 ± 4.56 |    932.58 ± 2.29 |               |                  |     8787.97 ± 21.55 |     8785.34 ± 21.55 |     8787.97 ± 21.55 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |     61.45 ± 0.47 |     31.65 ± 1.13 |  75.50 ± 1.50 |     40.25 ± 2.17 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |    602.24 ± 7.09 |    301.28 ± 3.54 |               |                  |     6801.19 ± 79.97 |     6798.55 ± 79.97 |     6801.19 ± 79.97 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |     56.70 ± 0.74 |     31.84 ± 4.79 |  74.00 ± 2.00 |     41.00 ± 3.74 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1861.87 ± 40.79 |  538.50 ± 137.21 |               |                  |  16359.27 ± 4505.94 |  16356.63 ± 4505.94 |  16359.27 ± 4505.94 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |     41.26 ± 1.94 |     14.80 ± 6.92 | 126.00 ± 5.00 |     30.60 ± 3.98 |                     |                     |                     |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |    610.42 ± 1.68 |   181.01 ± 52.24 |               |                  |  12255.53 ± 3345.87 |  12252.90 ± 3345.87 |  12255.53 ± 3345.87 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |     41.20 ± 1.55 |     14.09 ± 4.79 | 113.50 ± 4.50 |     27.70 ± 1.68 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) |  1520.38 ± 21.63 |  1520.38 ± 21.63 |               |                  |   10781.71 ± 153.33 |   10779.08 ± 153.33 |   10782.63 ± 154.25 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |     45.58 ± 0.32 |     45.58 ± 0.32 |  57.00 ± 0.00 |     57.00 ± 0.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |    496.31 ± 3.09 |    496.31 ± 3.09 |               |                  |     4129.25 ± 25.69 |     4126.61 ± 25.69 |     4131.25 ± 25.61 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c1) |     37.03 ± 0.88 |     37.03 ± 0.88 |  44.50 ± 0.50 |     44.50 ± 0.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c2) |   1763.12 ± 9.07 |   900.58 ± 19.36 |               |                  |   18204.96 ± 391.24 |   18202.32 ± 391.24 |   18206.77 ± 391.10 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c2) |     45.51 ± 6.05 |     29.06 ± 1.81 |  65.00 ± 5.00 |     40.00 ± 6.20 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c2) |    563.72 ± 0.19 |   314.93 ± 32.88 |               |                  |    6577.37 ± 686.53 |    6574.73 ± 686.53 |    6579.12 ± 686.73 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c2) |     41.25 ± 2.22 |     24.84 ± 3.01 |  65.00 ± 4.00 |     36.50 ± 3.20 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c5) |   1844.83 ± 2.06 |  530.97 ± 130.95 |               |                  |  33063.28 ± 8949.93 |  33060.64 ± 8949.93 |  33064.92 ± 8950.10 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c5) |     24.40 ± 0.52 |     11.90 ± 7.78 | 112.50 ± 1.50 |     28.30 ± 4.41 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c5) |    602.15 ± 3.31 |   179.32 ± 52.31 |               |                  |  12393.99 ± 3423.71 |  12391.36 ± 3423.71 |  12395.55 ± 3423.36 |
| dsv4-vision-dspark-tp2 |  tg128 @ d16384 (c5) |     38.25 ± 0.11 |     12.95 ± 3.90 | 106.00 ± 3.00 |     28.20 ± 2.96 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c1) |   1502.04 ± 1.24 |   1502.04 ± 1.24 |               |                  |    21818.92 ± 18.05 |    21816.28 ± 18.05 |    21821.91 ± 18.10 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c1) |     46.72 ± 1.58 |     46.72 ± 1.58 |  58.00 ± 4.00 |     58.00 ± 4.00 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c1) |    478.80 ± 0.82 |    478.80 ± 0.82 |               |                  |      4280.03 ± 7.33 |      4277.40 ± 7.33 |      4283.18 ± 7.30 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c1) |     41.95 ± 4.02 |     41.95 ± 4.02 |  47.50 ± 2.50 |     47.50 ± 2.50 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | ctx_pp @ d32768 (c2) |   1772.75 ± 3.16 |    896.14 ± 9.76 |               |                  |   36573.99 ± 398.46 |   36571.35 ± 398.46 |   36576.91 ± 398.30 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d32768 (c2) |     44.72 ± 0.28 |     26.59 ± 4.77 |  63.50 ± 4.50 |     36.25 ± 3.90 |                     |                     |                     |
| dsv4-vision-dspark-tp2 | pp2048 @ d32768 (c2) |    538.27 ± 7.56 |   299.91 ± 30.95 |               |                  |    6904.74 ± 711.04 |    6902.11 ± 711.04 |    6907.80 ± 711.04 |
| dsv4-vision-dspark-tp2 |  tg128 @ d32768 (c2) |     47.48 ± 2.75 |     28.54 ± 4.37 |  73.00 ± 2.00 |     39.25 ± 3.11 |                     |                     |                     |
