| model                  |                 test |      t/s (total) |       t/s (req) |       peak t/s |   peak t/s (req) |          ttfr (ms) |       est_ppt (ms) |      e2e_ttft (ms) |
|:-----------------------|---------------------:|-----------------:|----------------:|---------------:|-----------------:|-------------------:|-------------------:|-------------------:|
| dsv4-vision-dspark-tp2 |          pp2048 (c1) |  1477.85 ± 55.15 | 1477.85 ± 55.15 |                |                  |    1390.96 ± 51.79 |    1387.73 ± 51.79 |    1390.96 ± 51.79 |
| dsv4-vision-dspark-tp2 |           tg128 (c1) |     45.69 ± 2.59 |    45.69 ± 2.59 |   53.00 ± 6.00 |     53.00 ± 6.00 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |          pp2048 (c2) |   1916.72 ± 4.49 |   960.05 ± 2.26 |                |                  |     2136.47 ± 5.01 |     2133.24 ± 5.01 |     2136.47 ± 5.01 |
| dsv4-vision-dspark-tp2 |           tg128 (c2) |     56.73 ± 2.40 |    33.90 ± 5.60 |   75.50 ± 2.50 |     45.00 ± 6.20 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |          pp2048 (c5) |  2176.06 ± 23.16 |   435.60 ± 4.64 |                |                  |    4705.36 ± 50.13 |    4702.13 ± 50.13 |    4705.36 ± 50.13 |
| dsv4-vision-dspark-tp2 |           tg128 (c5) |   102.74 ± 10.75 |    22.31 ± 2.34 | 148.00 ± 11.00 |     32.20 ± 2.96 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c1) |   1525.95 ± 1.09 |  1525.95 ± 1.09 |                |                  |     2688.11 ± 1.91 |     2684.88 ± 1.91 |     2688.11 ± 1.91 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c1) |     37.51 ± 2.17 |    37.51 ± 2.17 |   45.00 ± 1.00 |     45.00 ± 1.00 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c1) |    512.64 ± 1.38 |   512.64 ± 1.38 |                |                  |    3998.23 ± 10.75 |    3995.00 ± 10.75 |    3998.23 ± 10.75 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c1) |     46.70 ± 0.34 |    46.70 ± 0.34 |   54.00 ± 1.00 |     54.00 ± 1.00 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c2) | 1626.71 ± 245.05 | 886.05 ± 113.85 |                |                  |   4717.60 ± 704.66 |   4714.37 ± 704.66 |   4717.60 ± 704.66 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c2) |    53.30 ± 14.41 |    29.01 ± 6.11 |  71.50 ± 11.50 |     38.00 ± 5.10 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c2) |    615.49 ± 8.89 |   307.93 ± 4.45 |                |                  |    6655.49 ± 96.17 |    6652.26 ± 96.17 |    6655.49 ± 96.17 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c2) |     60.40 ± 3.03 |    31.60 ± 1.98 |   75.00 ± 2.00 |     39.00 ± 0.71 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d4096 (c5) |  1981.05 ± 13.61 |  421.27 ± 21.27 |                |                  |   9753.57 ± 497.18 |   9750.34 ± 497.18 |   9753.57 ± 497.18 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d4096 (c5) |     88.12 ± 3.31 |    20.50 ± 1.40 |  134.00 ± 3.00 |     31.70 ± 2.90 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d4096 (c5) |    659.63 ± 7.60 |  144.25 ± 16.44 |                |                  | 14374.92 ± 1528.58 | 14371.69 ± 1528.58 | 14374.92 ± 1528.58 |
| dsv4-vision-dspark-tp2 |   tg128 @ d4096 (c5) |    67.36 ± 10.26 |    19.10 ± 3.46 |  132.50 ± 2.50 |     30.20 ± 2.09 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c1) |  1516.34 ± 10.72 | 1516.34 ± 10.72 |                |                  |    5406.64 ± 38.20 |    5403.41 ± 38.20 |    5406.64 ± 38.20 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c1) |     41.77 ± 4.85 |    41.77 ± 4.85 |   50.50 ± 8.50 |     50.50 ± 8.50 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c1) |    498.95 ± 1.36 |   498.95 ± 1.36 |                |                  |    4107.88 ± 11.19 |    4104.65 ± 11.19 |    4107.88 ± 11.19 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c1) |     43.58 ± 1.07 |    43.58 ± 1.07 |   52.00 ± 2.00 |     52.00 ± 2.00 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c2) |   1735.10 ± 2.16 |  906.58 ± 38.73 |                |                  |   9057.00 ± 386.82 |   9053.77 ± 386.82 |   9057.00 ± 386.82 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c2) |     46.70 ± 3.64 |    26.04 ± 3.56 |   71.50 ± 5.50 |     37.25 ± 5.93 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c2) |    558.31 ± 8.08 |  311.95 ± 33.06 |                |                  |   6642.86 ± 702.56 |   6639.63 ± 702.56 |   6642.86 ± 702.56 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c2) |     46.28 ± 4.34 |    27.99 ± 4.21 |  77.00 ± 10.00 |     38.75 ± 5.36 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  ctx_pp @ d8192 (c5) |  1981.68 ± 28.28 |  405.64 ± 19.35 |                |                  |  20244.28 ± 909.00 |  20241.05 ± 909.00 |  20244.28 ± 909.00 |
| dsv4-vision-dspark-tp2 |  ctx_tg @ d8192 (c5) |     65.44 ± 0.17 |    17.59 ± 2.10 |  122.50 ± 6.50 |     27.30 ± 3.20 |                    |                    |                    |
| dsv4-vision-dspark-tp2 |  pp2048 @ d8192 (c5) |   656.13 ± 12.23 |  138.68 ± 14.06 |                |                  | 14898.72 ± 1265.45 | 14895.49 ± 1265.45 | 14898.72 ± 1265.45 |
| dsv4-vision-dspark-tp2 |   tg128 @ d8192 (c5) |    72.98 ± 16.23 |    19.81 ± 2.60 |  125.50 ± 8.50 |     30.60 ± 2.15 |                    |                    |                    |
| dsv4-vision-dspark-tp2 | ctx_pp @ d16384 (c1) |   1522.46 ± 5.20 |  1522.46 ± 5.20 |                |                  |   10765.51 ± 36.77 |   10762.28 ± 36.77 |   10766.34 ± 36.76 |
| dsv4-vision-dspark-tp2 | ctx_tg @ d16384 (c1) |     49.42 ± 3.12 |    49.42 ± 3.12 |   59.00 ± 4.00 |     59.00 ± 4.00 |                    |                    |                    |
| dsv4-vision-dspark-tp2 | pp2048 @ d16384 (c1) |    496.31 ± 0.71 |   496.31 ± 0.71 |                |                  |     4129.72 ± 5.91 |     4126.49 ± 5.91 |     4131.79 ± 5.83 |
